t (s),V (mV)
0,0.0557
0.994,0.1458
1.994,0.1269
2.993,0.1151
3.994,0.1097
4.994,0.1054
5.994,0.105
6.994,0.1036
7.994,0.1033
8.993,0.1025
9.994,0.1038
10.993,0.1031
11.993,0.1034
12.993,0.1045
13.993,0.1047
14.994,0.1029
15.993,0.1002
16.994,0.0972
17.993,0.092
18.994,0.0882
19.994,0.0835
20.994,0.0787
21.994,0.0739
22.994,0.0689
23.994,0.0645
24.994,0.0587
25.994,0.053
26.993,0.0479
27.993,0.0434
28.993,0.038
29.994,0.0334
30.994,0.0279
31.994,0.0234
32.994,0.0178
33.994,0.0132
34.994,0.0075
35.993,0.0026
36.996,0.0036
37.996,0.0076
38.996,0.0129
39.996,0.0184
40.996,0.0231
41.996,0.0287
42.996,0.0341
43.996,0.039
44.996,0.0442
45.996,0.0497
46.996,0.0548
47.996,0.061
48.996,0.066
49.997,0.0713
50.996,0.0772
51.996,0.0818
52.997,0.0865
53.996,0.0915
54.996,0.0962
55.996,0.1016
56.997,0.1068
57.996,0.1111
58.996,0.1165
59.996,0.1209
60.997,0.126
61.996,0.1308
62.997,0.1359
63.996,0.1411
64.996,0.1448
65.996,0.15
66.996,0.1553
67.996,0.16
68.996,0.1656
69.997,0.1707
70.996,0.1754
71.996,0.1799
72.997,0.185
73.996,0.1895
74.996,0.1944
75.996,0.1995
76.997,0.2047
77.996,0.2095
78.997,0.2149
79.996,0.2203
80.996,0.2244
81.996,0.2304
82.996,0.235
83.996,0.2399
84.996,0.2446
85.997,0.2495
86.996,0.2559
87.996,0.2607
88.996,0.2656
89.997,0.2705
90.996,0.2755
91.997,0.28
92.996,0.2852
93.997,0.2896
94.996,0.2957
95.996,0.3007
96.996,0.3043
97.996,0.3101
98.996,0.3155
99.996,0.3152
100.996,0.3192
101.996,0.3204
102.996,0.3211
103.996,0.322
104.996,0.3204
105.996,0.3231
106.996,0.323
107.996,0.3236
108.996,0.3226
109.996,0.3228
110.996,0.3225
111.996,0.3221
112.997,0.3224
113.997,0.322
114.996,0.3194
115.997,0.3226
116.996,0.3229
117.996,0.3234
118.996,0.3236
119.996,0.3239
120.996,0.3233
121.996,0.3244
122.996,0.3247
123.996,0.3248
124.996,0.2921
125.996,0.3373
126.996,0.4061
127.996,0.4858
128.996,0.5727
129.996,0.6675
130.996,0.7699
131.996,0.8792
132.996,0.9937
133.996,1.1134
134.996,1.2358
135.996,1.3607
136.996,1.4856
137.996,1.6105
138.997,1.7319
139.996,1.8501
140.996,1.9643
141.996,2.0743
142.996,2.1768
143.996,2.2771
144.996,2.368
145.996,2.4522
146.996,2.5481
147.996,2.5864
148.996,2.5938
149.996,2.5988
150.996,2.6033
151.996,2.6072
152.996,2.6121
153.996,2.6155
154.996,2.6198
155.996,2.6236
156.996,2.6282
157.996,2.632
158.996,2.636
159.996,2.6386
160.996,2.6423
161.996,2.6502
162.996,2.6603
163.997,2.6696
164.996,2.6778
165.996,2.6875
166.996,2.6965
167.997,11.6141
168.997,12.4789
169.997,12.4975
170.997,12.5032
171.997,12.507
172.997,12.5107
173.997,12.5132
174.997,12.5144
175.997,12.5158
176.996,12.5166
177.997,12.5179
178.997,12.5196
179.997,12.5194
180.997,12.5205
181.996,12.5206
182.996,12.5207
183.997,12.5213
184.997,3.3691
185.997,13.5721
186.996,14.9104
187.997,19.8436
188.997,18.5259
189.997,17.5334
190.996,15.5406
191.997,15.6933
192.996,15.7315
193.997,15.7314
194.996,15.7326
195.997,15.7329
196.996,15.7341
197.996,15.7356
198.997,15.7364
199.996,15.7364
200.997,15.7364
201.997,15.7383
202.996,15.7381
203.997,15.738
204.997,15.7377
205.997,15.7401
206.996,15.7384
207.996,15.7375
208.997,15.7382
209.997,15.736
210.996,15.7358
211.996,15.7363
212.997,15.7364
213.997,15.7361
214.997,15.7355
215.997,15.7349
216.996,15.7356
217.996,15.7353
218.997,15.7349
219.997,15.7343
220.997,15.7336
221.996,15.7333
222.996,15.7338
223.996,15.7328
224.997,15.7316
225.997,15.7322
226.996,15.7328
227.997,15.733
228.997,15.7309
229.996,15.7305
230.997,15.7298
231.997,15.7304
232.996,15.7278
233.996,15.7263
234.997,15.7259
235.997,15.725
236.996,15.7244
237.996,15.7249
238.996,15.7246
239.997,15.7246
240.996,15.7239
241.997,15.7238
242.997,15.724
243.997,15.7226
244.996,16.2153
245.996,15.6445
246.996,11.8923
247.996,11.2818
248.997,13.4151
249.996,21.152
250.997,16.2183
251.996,18.6793
252.997,17.1649
253.996,16.0218
254.996,16.9034
255.997,15.89
256.996,13.3391
257.996,14.8242
258.997,14.847
259.996,16.0051
260.996,16.1635
261.997,16.1514
262.996,16.1466
263.996,16.147
264.997,16.1474
265.996,16.1478
266.996,16.1496
267.997,16.1494
268.996,16.1506
269.997,16.1511
270.996,16.1532
271.996,16.1524
272.997,16.1523
273.996,16.1523
274.997,16.1527
275.996,16.1533
276.997,16.1534
277.996,16.1521
278.997,16.152
279.997,16.1516
280.997,16.1524
281.997,16.1522
282.996,16.1542
283.997,16.1524
284.996,16.1542
285.997,16.1528
286.997,16.1545
287.996,14.8995
288.997,7.9737
289.997,7.6949
290.997,7.2621
291.996,6.8093
292.997,6.7664
293.996,6.0584
294.997,5.8256
295.996,5.8005
296.996,5.7291
297.996,5.0122
298.996,4.9552
299.996,4.3769
300.996,4.2517
301.996,4.2634
