t (s),V (mV)
0,17.5759
1.05,17.5679
2.1,17.5549
3.101,17.5442
4.101,17.5323
5.101,17.5192
6.101,17.5057
7.101,17.4932
8.101,17.4795
9.101,17.4664
10.101,17.4513
11.101,17.4378
12.101,17.4227
13.101,17.4071
14.102,17.391
15.101,17.3779
16.101,17.361
17.101,17.3473
18.101,17.3325
19.101,17.3173
20.101,17.3018
21.101,17.286
22.101,17.2712
23.101,17.2561
24.101,17.2409
25.101,17.2261
26.101,17.2111
27.101,17.1973
28.101,17.1826
29.101,17.1668
30.101,17.1503
31.101,17.1356
32.101,17.1227
33.101,17.1064
34.101,17.0928
35.101,17.0787
36.101,17.0635
37.101,17.0487
38.101,17.0334
39.101,17.0179
40.101,17.0016
41.101,16.9865
42.101,16.9711
43.101,16.956
44.101,16.9407
45.101,16.9257
46.101,16.9102
47.101,16.895
48.101,16.8797
49.101,16.864
50.101,16.8493
51.101,16.8361
52.101,16.8207
53.101,16.8068
54.101,16.7931
55.101,16.7782
56.101,16.7626
57.101,16.748
58.102,16.7352
59.101,16.72
60.101,16.7055
61.101,16.6906
62.101,16.6766
63.101,16.6629
64.101,16.6464
65.101,16.6333
66.101,16.6186
67.101,16.6028
68.101,16.5878
69.101,16.5735
70.101,16.5582
71.101,16.5441
72.101,16.5301
73.101,16.5151
74.101,16.5006
75.101,16.4862
76.101,16.4732
77.101,16.458
78.101,16.4431
79.101,16.4302
80.101,16.4157
81.101,16.4032
82.101,16.3885
83.101,16.3748
84.101,16.361
85.101,16.3471
86.102,16.3328
87.101,16.3198
88.101,16.306
89.101,16.2914
90.101,16.2782
91.101,16.2647
92.101,16.2507
93.101,16.2353
94.101,16.2209
95.102,16.2069
96.102,16.1928
97.101,16.1786
98.101,16.1638
99.101,16.1506
100.101,16.1359
101.101,16.1227
102.101,16.1087
103.101,16.0949
104.101,16.0823
105.101,16.0697
106.101,16.0563
107.101,16.0437
108.101,16.0302
109.101,16.0167
110.101,16.0038
111.101,15.9906
112.101,15.9769
113.101,15.9627
114.101,15.9488
115.101,15.9352
116.101,15.9213
117.101,15.9083
118.101,15.8951
119.101,15.8795
120.101,15.8659
121.101,15.8522
122.101,15.8397
123.101,15.8279
124.101,15.8147
125.101,15.8024
126.101,15.7897
127.101,15.7769
128.101,15.7637
129.101,15.7513
130.101,15.7389
131.101,15.7252
132.101,15.7123
133.101,15.6984
134.101,15.685
135.101,15.6714
136.101,15.6587
137.102,15.646
138.101,15.6312
139.101,15.6169
140.101,15.6048
141.101,15.5921
142.101,15.5808
143.101,15.5678
144.101,15.5554
145.101,15.5434
146.101,15.5293
147.101,15.5169
148.101,15.5047
149.101,15.4925
150.101,15.4805
151.101,15.4674
152.101,15.4534
153.101,15.4402
154.101,15.4269
155.101,15.4146
156.101,15.4015
157.101,15.3888
158.101,15.3762
159.101,15.3629
160.101,15.351
161.101,15.3378
162.101,15.3273
163.101,15.3145
164.101,15.3026
165.101,15.2911
166.101,15.2796
167.101,15.2666
168.101,15.254
169.101,15.2428
170.101,15.2293
171.101,15.2164
172.101,15.2043
173.101,15.1905
174.101,15.1793
175.101,15.1658
176.101,15.1543
177.101,15.1404
178.101,15.1278
179.101,15.1164
180.101,15.1042
181.101,15.0932
182.101,15.0817
183.101,15.0699
184.101,15.0587
185.101,15.047
186.101,15.0346
187.101,15.0232
188.101,15.0111
189.102,14.9982
190.101,14.9859
191.122,14.972
192.11,14.961
193.12,14.9492
194.108,14.9377
195.106,14.9256
196.12,14.9126
197.118,14.9007
198.101,14.8885
199.105,14.8778
200.111,14.8695
201.12,14.8539
202.101,14.8433
203.103,14.8322
204.106,14.8219
205.12,14.8074
206.104,14.7985
207.101,14.7862
208.11,14.7715
209.101,14.7618
210.101,14.7518
211.101,14.7393
212.101,14.7271
213.101,14.7151
214.101,14.7024
215.102,14.6912
216.101,14.6796
217.101,14.6673
218.101,14.656
219.101,14.6434
220.101,14.6329
221.101,14.6202
222.101,14.6102
223.101,14.5994
224.101,14.5877
225.101,14.5772
226.101,14.5655
227.101,14.5556
228.101,14.5434
229.101,14.533
230.101,14.5219
231.101,14.5107
232.101,14.4977
233.102,14.4859
234.101,14.4746
235.101,14.4624
236.101,14.4514
237.101,14.4394
238.101,14.4272
239.101,14.4162
240.101,14.4051
241.101,14.3943
242.101,14.3838
243.101,14.374
244.101,14.3622
245.101,14.3522
246.101,14.3405
247.101,14.3287
248.101,14.3184
249.101,14.3072
250.101,14.2953
251.101,14.2836
252.101,14.2723
253.101,14.2606
254.101,14.249
255.101,14.2373
256.101,14.2258
257.101,14.2158
258.101,14.2055
259.101,14.1951
260.101,14.1849
261.101,14.1734
262.101,14.1634
263.101,14.1534
264.101,14.1434
265.101,14.1321
266.101,14.1203
267.101,14.1089
268.101,14.098
269.101,14.0856
270.101,14.0748
271.102,14.0634
272.101,14.0527
273.101,14.0414
274.101,14.0313
275.101,14.0196
276.101,14.0085
277.101,13.999
278.101,13.989
279.101,13.9791
280.102,13.9677
281.101,13.9571
282.101,13.9454
283.101,13.9373
284.101,13.926
285.101,13.9164
286.101,13.9049
287.101,13.8944
288.101,13.8837
289.101,13.873
290.101,13.862
291.101,13.8529
292.101,13.8407
293.101,13.829
294.101,13.8176
295.101,13.8074
296.101,13.7966
297.101,13.7864
298.101,13.7761
299.101,13.7656
300.101,13.7557
301.101,13.7443
302.101,13.7334
303.101,13.7233
304.101,13.7118
305.101,13.7022
306.101,13.6916
307.101,13.6813
308.102,13.671
309.101,13.6607
310.101,13.6507
311.101,13.6419
312.101,13.6307
313.101,13.6207
314.101,13.6107
315.101,13.6009
316.101,13.5904
317.101,13.5801
318.102,13.5697
319.101,13.5595
320.101,13.5499
321.101,13.5393
322.101,13.5298
323.101,13.5188
324.101,13.5084
325.101,13.4983
326.101,13.4884
327.101,13.4778
328.101,13.467
329.101,13.4571
330.101,13.4473
331.102,13.4374
332.101,13.4279
333.101,13.4182
334.101,13.4088
335.101,13.3981
336.101,13.3883
337.101,13.3781
338.101,13.3688
339.101,13.3581
340.101,13.3491
341.101,13.3383
342.101,13.3281
343.101,13.3174
344.101,13.3087
345.101,13.2984
346.101,13.2888
347.101,13.279
348.101,13.269
349.101,13.2586
350.101,13.2487
351.101,13.2381
352.101,13.2278
353.101,13.2187
354.101,13.2076
355.101,13.1983
356.101,13.1879
357.101,13.1777
358.101,13.1678
359.101,13.1582
360.101,13.1475
361.101,13.1373
362.101,13.1279
363.101,13.1186
364.101,13.1085
365.101,13.0992
366.101,13.0888
367.101,13.0796
368.101,13.0702
369.101,13.0595
370.101,13.0505
371.101,13.0406
372.101,13.031
373.101,13.0205
374.102,13.0112
375.101,13.0012
376.102,12.9921
377.101,12.9829
378.101,12.9728
379.101,12.9645
380.101,12.9542
381.101,12.9446
382.101,12.9346
383.101,12.9252
384.101,12.9153
385.101,12.9057
386.101,12.8962
387.101,12.8875
388.102,12.877
389.101,12.8675
390.101,12.858
391.101,12.8482
392.101,12.8399
393.101,12.8298
394.101,12.8198
395.101,12.8106
396.101,12.802
397.101,12.7924
398.101,12.783
399.101,12.7742
400.101,12.7641
401.101,12.7552
402.101,12.7457
403.101,12.7368
404.102,12.7282
405.101,12.7189
406.101,12.709
407.101,12.7
408.101,12.6911
409.101,12.6815
410.101,12.6726
411.101,12.6636
412.101,12.6544
413.101,12.6445
414.101,12.6357
415.102,12.627
416.101,12.6182
417.101,12.6079
418.101,12.6008
419.101,12.5909
420.101,12.5809
421.101,12.5712
422.101,12.5625
423.101,12.553
424.101,12.5427
425.101,12.5338
426.101,12.5247
427.101,12.5152
428.102,12.505
429.101,12.4959
430.101,12.4871
431.101,12.4773
432.101,12.4677
433.101,12.4592
434.101,12.4489
435.101,12.4406
436.101,12.4304
437.101,12.4216
438.101,12.4116
439.101,12.4018
440.101,12.3932
441.101,12.3841
442.101,12.3755
443.101,12.366
444.102,12.358
445.101,12.3486
446.102,12.34
447.101,12.3313
448.101,12.322
449.102,12.3135
450.101,12.3039
451.102,12.2952
452.101,12.2861
453.101,12.2784
454.101,12.2684
455.101,12.2596
456.101,12.2507
457.101,12.2424
458.101,12.2343
459.101,12.2257
460.101,12.216
461.101,12.2065
462.102,12.1969
463.101,12.1888
464.102,12.1796
465.101,12.1701
466.101,12.1611
467.101,12.1524
