t (s),V (mV)
0,107.775
1.006,107.773
2.006,107.767
3.005,107.75
4.005,107.736
5.005,107.72
6.006,107.703
7.006,107.689
8.005,107.672
9.005,107.655
10.005,107.637
11.033,107.618
12.005,107.604
13.005,107.588
14.005,107.573
15.006,107.556
16.005,107.538
17.005,107.522
18.005,107.507
19.005,107.492
20.006,107.476
21.006,107.461
22.006,107.446
23.005,107.429
24.006,107.413
25.006,107.397
26.006,107.381
27.005,107.367
28.006,107.354
29.006,107.339
30.006,107.323
31.005,107.308
32.005,107.294
33.005,107.279
34.005,107.265
35.006,107.25
36.005,107.237
37.006,107.223
38.005,107.211
39.005,107.194
40.006,107.183
41.005,107.168
42.006,107.154
43.006,107.142
44.006,107.127
45.006,107.114
46.005,107.098
47.006,107.086
48.005,107.073
49.005,107.059
50.006,107.049
51.006,107.035
52.005,107.021
53.005,107.008
54.005,106.996
55.006,106.982
56.006,106.968
57.005,106.955
58.005,106.945
59.005,106.932
60.005,106.918
61.005,106.907
62.006,106.897
63.006,106.885
64.005,106.873
65.005,106.862
66.006,106.849
67.006,106.838
68.005,106.825
69.005,106.813
70.006,106.799
71.006,106.789
72.006,106.779
73.006,106.767
74.006,106.755
75.005,106.743
76.005,106.734
77.005,106.72
78.005,106.709
79.005,106.696
80.005,106.686
81.006,106.675
82.006,106.664
83.006,106.655
84.006,106.643
85.006,106.633
86.006,106.621
87.006,106.609
88.005,106.6
89.005,106.59
90.005,106.581
91.005,106.569
92.005,106.559
93.006,106.548
94.006,106.538
95.006,106.527
96.005,106.519
97.005,106.507
98.006,106.496
99.005,106.487
100.006,106.477
101.006,106.466
102.005,106.457
103.005,106.446
104.006,106.438
105.005,106.429
106.005,106.419
107.006,106.408
108.005,106.4
109.006,106.391
110.005,106.382
111.005,106.372
112.006,106.363
113.005,106.354
114.005,106.345
115.005,106.336
116.005,106.326
117.006,106.316
118.005,106.308
119.005,106.299
120.006,106.289
121.006,106.283
122.005,106.273
123.006,106.264
124.006,106.254
125.005,106.245
126.005,106.237
127.006,106.229
128.005,106.219
129.006,106.211
130.005,106.203
131.006,106.196
132.005,106.188
133.006,106.18
134.005,106.173
135.006,106.163
136.005,106.154
137.006,106.146
138.005,106.14
139.006,106.132
140.005,106.125
141.005,106.116
142.006,106.11
143.005,106.102
144.005,106.095
145.006,106.086
146.005,106.08
147.005,106.073
148.006,106.065
149.005,106.058
150.006,106.049
151.006,106.044
152.005,106.034
153.005,106.026
154.006,106.021
155.005,106.012
156.005,106.005
157.005,105.997
158.005,105.99
159.005,105.984
160.006,105.976
161.006,105.966
162.005,105.961
163.005,105.956
164.005,105.949
165.006,105.942
166.006,105.935
167.006,105.929
168.005,105.921
169.005,105.914
170.006,105.907
171.006,105.904
172.005,105.895
173.006,105.887
174.005,105.882
175.006,105.875
176.006,105.868
177.005,105.861
178.006,105.855
179.005,105.847
180.006,105.842
181.005,105.837
182.006,105.832
183.005,105.826
184.006,105.82
185.005,105.816
186.006,105.808
187.005,105.802
188.006,105.797
189.005,105.793
190.006,105.785
191.006,105.78
192.006,105.772
193.005,105.767
194.005,105.762
195.005,105.755
196.005,105.749
197.005,105.743
198.005,105.739
199.005,105.735
200.005,105.728
201.006,105.722
202.005,105.717
203.005,105.712
204.005,105.706
205.005,105.7
206.006,105.695
207.005,105.69
208.005,105.685
209.006,105.68
210.006,105.676
211.006,105.67
212.005,105.665
213.005,105.658
214.005,105.653
215.005,105.648
216.005,105.643
217.005,105.636
218.005,105.632
219.006,105.626
220.006,105.62
221.006,105.615
222.006,105.612
223.006,105.607
224.005,105.602
225.005,105.596
226.005,105.591
227.005,105.587
228.006,105.581
229.006,105.577
230.006,105.574
231.006,105.568
232.005,105.565
233.005,105.559
234.006,105.553
235.006,105.549
236.006,105.546
237.006,105.54
238.005,105.534
239.005,105.531
240.005,105.526
241.005,105.522
242.005,105.518
243.006,105.514
244.006,105.509
245.006,105.504
246.006,105.502
247.005,105.496
248.006,105.491
249.005,105.49
250.005,105.484
251.005,105.482
252.006,105.475
253.005,105.47
254.005,105.467
255.006,105.46
256.005,105.457
257.006,105.451
258.005,105.448
259.006,105.443
260.005,105.44
261.006,105.435
262.006,105.431
263.005,105.427
264.005,105.425
265.005,105.424
266.006,105.418
267.005,105.415
268.005,105.412
269.006,105.406
270.005,105.4
271.005,105.398
272.005,105.398
273.006,105.391
274.005,105.391
275.005,105.384
276.006,105.383
277.005,105.38
278.006,105.376
279.005,105.371
280.005,105.368
281.006,105.361
282.005,105.359
283.006,105.357
284.005,105.353
285.006,105.349
286.005,105.346
287.006,105.341
288.005,105.34
289.006,105.337
290.005,105.33
291.006,105.33
292.006,105.328
293.005,105.324
294.006,105.322
295.005,105.319
