t (s),V (mV)
0,46.3909
0.97,46.3953
1.906,46.3864
2.875,46.3874
3.854,46.3749
4.854,46.358
5.854,46.3405
6.854,46.3207
7.854,46.303
8.854,46.2845
9.854,46.2661
10.854,46.2467
11.854,46.226
12.854,46.207
13.854,46.1887
14.854,46.1684
15.854,46.1484
16.854,46.13
17.854,46.1105
18.854,46.0922
19.854,46.0723
20.854,46.0532
21.855,46.0357
22.854,46.0162
23.854,45.9972
24.854,45.9782
25.854,45.9608
26.855,45.9422
27.854,45.9237
28.854,45.9054
29.854,45.8852
30.854,45.8683
31.854,45.85
32.854,45.8315
33.854,45.814
34.854,45.7964
35.854,45.7791
36.854,45.7611
37.854,45.7434
38.854,45.726
39.854,45.7083
40.854,45.6915
41.854,45.6755
42.854,45.6571
43.854,45.6401
44.854,45.6229
45.854,45.6054
46.854,45.5882
47.854,45.5704
48.854,45.5539
49.854,45.5361
50.854,45.519
51.854,45.5011
52.854,45.4852
53.854,45.4677
54.854,45.4512
55.854,45.4342
56.854,45.4172
57.854,45.3996
58.854,45.384
59.854,45.3673
60.854,45.3517
61.854,45.3351
62.854,45.3189
63.854,45.3022
64.854,45.2868
65.854,45.2706
66.854,45.2545
67.854,45.2391
68.854,45.2225
69.854,45.2061
70.854,45.1905
71.854,45.1744
72.854,45.1588
73.854,45.1434
74.854,45.1284
75.854,45.1133
76.854,45.0977
77.854,45.0823
78.854,45.0676
79.854,45.053
80.854,45.0369
81.854,45.0216
82.854,45.007
83.854,44.9909
84.854,44.976
85.854,44.9614
86.854,44.9471
87.854,44.9313
88.854,44.9169
89.854,44.9025
90.854,44.8882
91.854,44.8736
92.854,44.859
93.854,44.8435
94.854,44.8293
95.854,44.8138
96.854,44.7998
97.854,44.7852
98.854,44.771
99.854,44.7562
100.854,44.7428
101.854,44.7281
102.854,44.7141
103.854,44.7014
104.854,44.6862
105.854,44.6736
106.854,44.6583
107.854,44.6444
108.854,44.6311
109.854,44.6185
110.853,44.6037
111.854,44.5914
112.854,44.5774
113.854,44.5642
114.854,44.5499
115.854,44.5377
116.855,44.5242
117.854,44.5105
118.855,44.4974
119.854,44.4843
120.854,44.4711
121.854,44.458
122.854,44.4457
123.854,44.4324
124.854,44.4205
125.854,44.4084
126.854,44.396
127.854,44.384
128.854,44.3712
129.854,44.3591
130.854,44.3464
131.854,44.3334
132.854,44.3204
133.854,44.308
134.854,44.2954
135.854,44.2838
136.854,44.2705
137.854,44.2594
138.854,44.2453
139.854,44.2332
140.854,44.2209
141.854,44.2086
142.854,44.1958
143.854,44.184
144.854,44.1714
145.854,44.1582
146.854,44.1493
147.854,44.1362
148.854,44.1234
149.854,44.1112
150.854,44.0999
151.854,44.0881
152.854,44.0765
153.854,44.0647
154.854,44.0526
155.854,44.0403
156.854,44.0305
157.854,44.0177
158.855,44.0053
159.854,43.994
160.854,43.9831
161.854,43.9711
162.854,43.9598
163.854,43.9495
164.854,43.9374
165.854,43.926
166.854,43.9147
167.854,43.9029
168.854,43.8913
169.854,43.8811
170.854,43.8707
171.854,43.8594
172.854,43.849
173.854,43.8381
174.854,43.8261
175.854,43.8161
176.854,43.8059
177.854,43.7947
178.854,43.7851
179.854,43.7742
180.854,43.7636
181.854,43.7532
182.854,43.743
183.854,43.7322
184.854,43.7215
185.854,43.7114
186.854,43.7004
187.854,43.6899
188.854,43.6809
189.854,43.6707
190.854,43.6595
191.854,43.6484
192.854,43.6387
193.854,43.6287
194.854,43.6185
195.854,43.6079
196.854,43.5987
197.854,43.5883
198.854,43.579
199.854,43.5682
200.854,43.5602
201.854,43.5502
202.854,43.5412
203.855,43.5317
204.854,43.5235
205.854,43.5128
206.854,43.502
207.854,43.4926
208.854,43.4837
209.856,43.4751
210.854,43.4638
211.854,43.455
212.854,43.4447
213.854,43.4335
214.854,43.4249
215.854,43.4159
216.854,43.4069
217.854,43.3971
218.854,43.389
219.855,43.3805
220.854,43.371
221.855,43.3627
222.854,43.3549
223.854,43.3451
224.854,43.3355
225.854,43.3278
226.854,43.3183
227.854,43.3092
228.854,43.3001
229.854,43.2913
230.854,43.2825
231.854,43.2744
232.854,43.2666
233.854,43.2579
234.854,43.2482
235.854,43.2398
236.854,43.2319
237.854,43.2226
238.854,43.2144
239.854,43.2051
240.854,43.197
241.854,43.1883
242.854,43.1813
243.854,43.1737
244.854,43.1649
245.854,43.1564
246.854,43.1485
247.854,43.1395
248.854,43.132
249.853,43.1233
250.854,43.1155
251.854,43.1079
252.854,43.0998
253.854,43.0917
254.854,43.0843
255.854,43.0769
256.854,43.0675
257.854,43.0594
258.854,43.0521
259.854,43.0441
260.854,43.0365
261.854,43.0278
262.854,43.0208
263.855,43.0116
264.854,43.0041
265.854,42.9967
266.854,42.9882
267.854,42.9819
268.854,42.973
269.854,42.9653
270.854,42.9583
271.854,42.9502
272.854,42.9432
273.854,42.9354
274.854,42.9276
275.854,42.9199
276.854,42.9125
277.854,42.9057
278.854,42.8988
279.854,42.8903
280.854,42.8835
281.855,42.8756
282.854,42.8684
283.854,42.8617
284.854,42.8548
285.854,42.8472
286.854,42.8406
287.854,42.8335
288.854,42.8261
289.854,42.8192
290.854,42.8118
291.854,42.8057
292.854,42.8002
293.854,42.7941
294.854,42.785
295.854,42.778
296.854,42.7706
297.854,42.7644
298.854,42.7571
299.854,42.7504
300.854,42.7424
301.854,42.7357
