t (s),V (mV)
0,21.6869
0.969,21.6671
1.936,21.649
2.923,21.6309
3.923,21.6103
4.923,21.589
5.923,21.567
6.923,21.5464
7.923,21.5249
8.924,21.503
9.923,21.4804
10.923,21.4584
11.923,21.4364
12.923,21.414
13.923,21.3917
14.923,21.369
15.923,21.3456
16.923,21.3235
17.923,21.3002
18.923,21.2769
19.923,21.2535
20.923,21.2311
21.923,21.2075
22.923,21.1836
23.924,21.1604
24.924,21.138
25.923,21.1144
26.923,21.0912
27.923,21.0685
28.923,21.0452
29.923,21.0206
30.923,20.9986
31.923,20.9751
32.923,20.954
33.923,20.931
34.923,20.9081
35.924,20.8851
36.924,20.8611
37.923,20.8402
38.924,20.8174
39.924,20.7957
40.924,20.7723
41.924,20.7482
42.923,20.7271
43.923,20.7046
44.923,20.6816
45.923,20.6591
46.923,20.6362
47.923,20.6142
48.923,20.5924
49.923,20.5701
50.923,20.5477
51.923,20.5264
52.923,20.5029
53.924,20.4804
54.924,20.4587
55.924,20.4353
56.923,20.4153
57.923,20.3929
58.923,20.3708
59.923,20.3484
60.923,20.3269
61.923,20.3041
62.923,20.2822
63.924,20.2595
64.923,20.2382
65.923,20.2166
66.923,20.1949
67.923,20.1731
68.923,20.1513
69.923,20.1291
70.923,20.1083
71.923,20.0874
72.923,20.0644
73.923,20.0422
74.923,20.0222
75.924,20.0013
76.923,19.9786
77.923,19.958
78.923,19.9365
79.923,19.9157
80.923,19.8941
81.923,19.8734
82.923,19.8526
83.923,19.8323
84.923,19.8105
85.924,19.7897
86.923,19.7685
87.923,19.7472
88.923,19.7261
89.923,19.7053
90.924,19.6846
91.923,19.6629
92.923,19.643
93.923,19.6214
94.923,19.6007
95.923,19.581
96.923,19.5599
97.923,19.5386
98.923,19.5186
99.924,19.4967
100.924,19.4755
101.923,19.4548
102.923,19.4334
103.923,19.4134
104.923,19.3919
105.923,19.3716
106.923,19.3506
107.923,19.3297
108.923,19.3099
109.923,19.2893
110.923,19.2677
111.924,19.249
112.923,19.228
113.923,19.2073
114.923,19.1881
115.923,19.1682
116.923,19.1491
117.923,19.128
118.924,19.1088
119.923,19.0883
120.923,19.0681
121.923,19.048
122.923,19.0292
123.923,19.0098
124.923,18.9894
125.923,18.9705
126.924,18.9494
127.923,18.9299
128.923,18.9093
129.923,18.8894
130.923,18.8688
131.923,18.8497
132.923,18.8297
133.923,18.8087
134.924,18.7891
135.923,18.7716
136.923,18.7496
137.923,18.7292
138.924,18.7105
139.923,18.6914
140.923,18.6736
141.923,18.6541
142.923,18.6362
143.924,18.6154
144.923,18.5969
145.923,18.578
146.923,18.5596
147.923,18.5394
148.923,18.5216
149.923,18.5026
150.923,18.4835
151.923,18.4637
152.923,18.4457
153.923,18.4255
154.923,18.4063
155.924,18.3868
156.923,18.3669
157.923,18.3489
158.923,18.3307
159.923,18.3102
160.924,18.2923
161.923,18.273
162.923,18.2541
163.923,18.2358
164.924,18.2169
165.923,18.1992
166.923,18.1805
167.923,18.1631
168.924,18.1435
169.923,18.1244
170.923,18.1067
171.923,18.0877
172.924,18.0693
173.923,18.0513
174.923,18.0335
175.923,18.0147
176.923,17.9971
177.924,17.9781
178.923,17.9603
179.923,17.9411
180.923,17.9205
181.923,17.9023
182.924,17.8843
183.923,17.8653
184.923,17.8482
185.923,17.8294
186.924,17.8101
187.923,17.7909
188.923,17.7738
189.923,17.7549
190.923,17.738
191.923,17.7187
192.923,17.7007
193.923,17.6836
194.923,17.6655
195.923,17.6474
196.923,17.6298
197.924,17.6126
198.923,17.5939
199.923,17.5761
200.924,17.5582
201.923,17.5409
202.923,17.5223
203.923,17.5043
204.923,17.4866
205.923,17.4691
206.923,17.4513
207.923,17.4341
208.923,17.4166
209.924,17.3988
210.923,17.3807
211.923,17.3633
212.923,17.3463
213.923,17.329
214.923,17.3117
215.923,17.2937
216.923,17.2767
217.923,17.2593
218.923,17.2403
219.924,17.2226
220.923,17.2041
221.923,17.1866
222.923,17.1679
223.923,17.1521
224.923,17.1345
225.923,17.1168
226.923,17.1
227.923,17.0814
228.923,17.0639
229.923,17.0471
230.923,17.0299
231.923,17.0131
232.923,16.995
233.923,16.9773
234.923,16.9599
235.923,16.9432
236.923,16.9269
237.923,16.9104
238.923,16.893
239.923,16.8769
240.923,16.859
241.923,16.8422
242.923,16.8251
243.923,16.808
244.924,16.7927
245.923,16.7767
246.923,16.7592
247.924,16.7425
248.923,16.726
249.923,16.709
250.924,16.6911
251.923,16.6751
252.923,16.6575
253.923,16.6419
254.923,16.6251
255.923,16.6088
256.923,16.5916
257.923,16.5764
258.923,16.5591
259.923,16.5433
260.923,16.5262
261.923,16.5102
262.923,16.4941
263.923,16.478
264.923,16.4609
265.923,16.4451
266.923,16.4285
267.923,16.4124
268.923,16.3956
269.923,16.3792
270.923,16.3637
271.923,16.3466
272.923,16.3297
273.923,16.3132
274.923,16.2971
275.924,16.2798
276.923,16.2644
277.923,16.2481
278.923,16.2311
279.923,16.2159
280.923,16.199
281.923,16.1836
282.923,16.1662
283.923,16.1503
284.923,16.1337
285.923,16.1176
286.923,16.1025
287.923,16.0863
288.924,16.0705
289.923,16.0546
290.923,16.0378
291.923,16.0216
292.923,16.0072
293.923,15.9906
294.923,15.9757
295.923,15.9587
296.923,15.9427
297.923,15.9272
298.923,15.9104
299.923,15.8948
300.923,15.8799
301.923,15.8649
302.923,15.848
303.923,15.8323
304.923,15.8161
305.923,15.8006
306.923,15.7856
