t (s),V (mV)
0,1.5001
0.999,1.4948
1.998,1.4985
2.999,1.4997
3.999,1.4991
4.998,1.497
5.999,1.4947
6.999,1.4933
7.998,1.4901
8.999,1.4878
9.999,1.4839
10.998,1.4807
11.999,1.4769
12.999,1.474
13.999,1.4706
14.998,1.4665
15.998,1.4628
16.999,1.4589
17.999,1.4557
18.999,1.4513
19.998,1.4475
20.999,1.4439
21.999,1.4405
22.998,1.4379
23.999,1.4325
24.999,1.4287
25.998,1.4256
26.998,1.4223
27.999,1.4168
28.999,1.4129
29.998,1.409
30.998,1.4054
31.999,1.4001
32.999,1.3965
33.999,1.3915
34.999,1.3882
35.999,1.3841
36.998,1.3802
37.999,1.3769
38.999,1.3725
39.998,1.368
40.999,1.3639
41.999,1.3595
42.998,1.3548
43.999,1.3508
44.999,1.345
45.999,1.3401
46.999,1.3352
47.998,1.3317
48.999,1.3273
49.999,1.3221
50.998,1.318
51.999,1.3126
52.999,1.3084
53.999,1.3038
54.998,1.3001
55.999,1.2947
56.999,1.2906
57.998,1.2859
58.999,1.2815
59.998,1.2776
60.999,1.2723
61.998,1.2691
62.999,1.263
63.999,1.2589
64.998,1.2537
65.999,1.2502
66.999,1.246
67.998,1.2411
68.999,1.2372
69.999,1.2336
70.998,1.2304
71.999,1.2246
72.999,1.2209
73.999,1.2163
74.998,1.2118
75.999,1.2082
76.999,1.2036
77.998,1.1993
78.999,1.1958
79.999,1.1907
80.998,1.187
81.999,1.1824
82.998,1.1772
83.999,1.1724
84.999,1.1689
85.999,1.1634
86.999,1.1602
87.998,1.1553
88.999,1.1513
89.999,1.1477
90.999,1.1431
91.999,1.1385
92.998,1.134
93.999,1.1293
94.999,1.1259
95.998,1.1212
96.999,1.1175
97.999,1.1131
98.998,1.1085
99.999,1.1047
100.998,1.1002
101.999,1.0953
102.999,1.0911
103.999,1.0867
104.999,1.0832
105.999,1.0787
106.999,1.0737
107.999,1.0693
108.999,1.0652
110.028,1.0594
111.001,1.0562
111.998,1.0521
112.998,1.0471
113.998,1.0436
114.998,1.0389
115.997,1.0344
116.998,1.0305
117.998,1.0259
118.998,1.0215
119.998,1.0174
120.997,1.0134
121.997,1.0082
122.998,1.0038
123.999,0.9997
124.998,0.9964
125.999,0.991
126.998,0.987
127.999,0.9821
128.999,0.9787
129.999,0.9743
130.999,0.9701
131.998,0.9669
132.999,0.9622
133.998,0.9578
134.999,0.9532
135.999,0.9493
136.998,0.9441
137.999,0.9394
138.998,0.9356
139.999,0.9312
140.998,0.9268
141.999,0.9238
142.999,0.919
143.998,0.9146
144.999,0.9105
145.998,0.9065
146.999,0.9014
147.999,0.8971
148.998,0.8933
149.999,0.889
151,0.8845
151.999,0.8805
152.998,0.8759
153.999,0.8724
154.999,0.8684
155.999,0.8628
156.999,0.8587
157.998,0.8558
158.999,0.8511
159.999,0.8474
161,0.8424
161.998,0.8384
162.999,0.8337
163.998,0.8298
164.999,0.8254
165.999,0.8203
166.998,0.8162
167.999,0.8122
168.998,0.8077
169.999,0.8037
170.998,0.7996
171.999,0.7951
172.999,0.7911
173.998,0.7871
174.999,0.7836
175.998,0.7784
176.999,0.7739
177.999,0.7698
178.999,0.7656
179.999,0.7616
180.999,0.7571
181.999,0.7533
182.999,0.7485
183.999,0.7448
184.999,0.7402
185.999,0.7359
186.998,0.7315
187.999,0.7261
188.999,0.7232
189.999,0.7181
190.999,0.7136
191.998,0.709
192.999,0.7057
193.999,0.7004
194.998,0.6964
195.999,0.6923
196.998,0.6888
197.999,0.6837
198.998,0.6809
199.998,0.674
200.999,0.673
201.998,0.6683
202.999,0.663
203.999,0.6596
204.999,0.6548
205.999,0.6509
206.998,0.6468
207.999,0.642
208.998,0.6378
209.999,0.6333
210.999,0.629
211.999,0.6252
212.999,0.6204
213.998,0.617
214.999,0.6126
215.999,0.6089
216.998,0.6042
217.998,0.6003
218.999,0.5956
219.998,0.5921
220.999,0.5879
221.998,0.5837
222.999,0.58
223.998,0.5756
224.999,0.5714
225.998,0.5671
226.999,0.5624
227.999,0.5594
228.998,0.5546
229.999,0.5501
230.998,0.5466
231.999,0.5415
232.999,0.5377
233.999,0.5338
234.998,0.5301
235.999,0.5255
236.998,0.521
237.999,0.5165
238.998,0.513
239.999,0.5089
240.999,0.5043
241.999,0.5009
242.999,0.4964
243.999,0.4921
244.998,0.488
245.999,0.4837
246.999,0.4796
247.998,0.4761
248.998,0.4716
249.999,0.4671
250.998,0.4629
251.999,0.4585
252.999,0.4554
253.998,0.4512
254.999,0.447
255.998,0.4436
256.999,0.4395
257.998,0.4353
258.999,0.4303
259.998,0.4268
260.999,0.4223
261.999,0.4198
262.999,0.4155
263.999,0.4112
264.999,0.408
265.999,0.4036
266.999,0.3991
267.999,0.3961
268.998,0.3921
270.02,0.3874
270.999,0.3842
271.999,0.3801
273.018,0.376
274.006,0.3689
274.999,0.368
275.999,0.3636
276.999,0.359
277.999,0.3561
278.999,0.3519
279.999,0.347
280.999,0.3432
281.999,0.3392
282.998,0.3353
283.999,0.3307
284.999,0.3267
285.998,0.3231
286.999,0.3189
287.998,0.3151
288.999,0.3109
289.999,0.3078
290.998,0.3033
291.999,0.2981
292.999,0.294
293.999,0.2901
294.998,0.2872
295.999,0.2827
296.998,0.2791
297.999,0.2739
298.999,0.2706
299.999,0.2653
300.999,0.2601
301.999,0.2562
