t (s),V (mV)
0,17.1465
1.05,17.1351
2.1,17.1258
3.15,17.1129
4.175,17.1006
5.175,17.0884
6.175,17.0773
7.175,17.0648
8.175,17.0525
9.176,17.0408
10.175,17.0285
11.175,17.0161
12.175,17.0046
13.175,16.992
14.175,16.9799
15.176,16.9681
16.175,16.9562
17.175,16.9435
18.175,16.9314
19.175,16.9209
20.174,16.9089
21.175,16.8963
22.175,16.8839
23.175,16.8725
24.176,16.86
25.175,16.8479
26.175,16.8359
27.175,16.823
28.175,16.8118
29.175,16.7991
30.176,16.7882
31.175,16.7747
32.175,16.7634
33.175,16.7506
34.175,16.7383
35.175,16.7267
36.175,16.7148
37.175,16.7037
38.176,16.6912
39.175,16.6787
40.175,16.6664
41.175,16.6549
42.175,16.6416
43.175,16.6307
44.175,16.6184
45.175,16.6081
46.175,16.5954
47.175,16.5848
48.175,16.5722
49.175,16.5613
50.175,16.5502
51.175,16.5379
52.175,16.5258
53.175,16.5156
54.175,16.5047
55.176,16.4929
56.175,16.4819
57.175,16.47
58.175,16.4578
59.175,16.447
60.175,16.4354
61.175,16.424
62.176,16.4137
63.176,16.4017
64.175,16.3902
65.175,16.3786
66.175,16.3671
67.175,16.3562
68.176,16.3448
69.176,16.3343
70.175,16.3214
71.175,16.3117
72.175,16.3006
73.175,16.2896
74.175,16.2782
75.175,16.2667
76.175,16.2558
77.175,16.2447
78.175,16.2339
79.175,16.2226
80.175,16.2116
81.175,16.201
82.175,16.1896
83.175,16.178
84.175,16.1665
85.175,16.1566
86.175,16.1455
87.175,16.1336
88.175,16.1221
89.175,16.1116
90.175,16.1014
91.175,16.0909
92.175,16.0792
93.175,16.0698
94.175,16.0592
95.175,16.0485
96.175,16.0375
97.175,16.0271
98.175,16.015
99.175,16.0043
100.175,15.9942
101.175,15.9832
102.175,15.9725
103.175,15.9627
104.175,15.9523
105.175,15.9414
106.175,15.9309
107.175,15.9204
108.175,15.9094
109.176,15.8987
110.176,15.8887
111.175,15.8781
112.175,15.8672
113.175,15.8563
114.175,15.8463
115.175,15.8362
116.175,15.8249
117.176,15.8151
118.175,15.8052
119.175,15.795
120.175,15.7844
121.175,15.775
122.175,15.7637
123.175,15.7529
124.175,15.7434
125.175,15.7319
126.175,15.7217
127.175,15.7124
128.175,15.7016
129.175,15.6919
130.175,15.6812
131.175,15.6719
132.175,15.6604
133.175,15.6507
134.175,15.6407
135.175,15.6309
136.175,15.6207
137.175,15.6098
138.175,15.6
139.176,15.5897
140.176,15.58
141.175,15.5701
142.175,15.5598
143.175,15.5495
144.175,15.5399
145.175,15.5303
146.175,15.5209
147.175,15.511
148.175,15.5009
149.175,15.4906
150.175,15.4814
151.175,15.4713
152.175,15.4601
153.175,15.4512
154.175,15.4422
155.175,15.4316
156.175,15.4223
157.175,15.4125
158.175,15.403
159.175,15.3933
160.175,15.383
161.175,15.3742
162.175,15.3648
163.175,15.3548
164.175,15.3453
165.175,15.3356
166.175,15.3264
167.175,15.3172
168.175,15.3074
169.175,15.2979
170.175,15.2877
171.176,15.2791
172.175,15.2706
173.175,15.2599
174.176,15.25
175.176,15.2404
176.175,15.2301
177.175,15.2222
178.175,15.2116
179.175,15.2026
180.175,15.1932
181.175,15.1842
182.175,15.1747
183.175,15.1655
184.175,15.156
185.175,15.1462
186.175,15.1364
187.175,15.1274
188.175,15.1183
189.175,15.1083
190.175,15.099
191.175,15.0904
192.175,15.08
193.175,15.0719
194.175,15.0627
195.176,15.052
196.175,15.0436
197.175,15.0342
198.175,15.0244
199.175,15.0153
200.175,15.0068
201.176,14.9971
202.175,14.988
203.175,14.9784
204.175,14.9699
205.176,14.9605
206.175,14.952
207.176,14.9423
208.175,14.9323
209.175,14.9238
210.175,14.915
211.175,14.9055
212.175,14.8963
213.175,14.8872
214.175,14.8789
215.175,14.8692
216.175,14.8611
217.175,14.8519
218.175,14.8431
219.175,14.8346
220.175,14.8251
221.175,14.8165
222.175,14.8077
223.175,14.7982
224.175,14.7896
225.175,14.7812
226.175,14.7718
227.175,14.7633
228.175,14.7539
229.175,14.7458
230.175,14.7363
231.175,14.728
232.175,14.7191
233.176,14.7102
234.175,14.7011
235.175,14.691
236.175,14.6833
237.175,14.674
238.175,14.6659
239.176,14.6569
240.176,14.6486
241.175,14.6396
242.175,14.6303
243.175,14.6214
244.175,14.6133
245.175,14.6033
246.175,14.5953
247.175,14.5869
248.175,14.5784
249.175,14.5694
250.175,14.5607
251.175,14.5523
252.175,14.5436
253.175,14.5345
254.175,14.5262
255.175,14.5178
256.175,14.5098
257.175,14.502
258.175,14.493
259.175,14.4845
260.175,14.4772
261.175,14.4673
262.175,14.4596
263.176,14.4508
264.175,14.4419
265.175,14.4344
266.176,14.425
267.175,14.4172
268.175,14.409
269.175,14.4009
270.175,14.3925
271.176,14.3841
272.175,14.3752
273.175,14.3653
274.175,14.3575
275.175,14.3511
276.175,14.342
277.175,14.3346
278.175,14.3244
279.175,14.3172
280.175,14.3084
281.175,14.3005
282.175,14.2919
283.175,14.2837
284.175,14.2748
285.175,14.2671
286.175,14.2591
287.175,14.2507
288.175,14.2423
289.175,14.234
290.175,14.226
291.175,14.2168
292.175,14.2089
293.175,14.2011
294.175,14.192
295.176,14.1827
296.175,14.1747
297.175,14.1668
298.175,14.1588
299.175,14.1507
300.175,14.1434
301.175,14.1347
302.175,14.1266
303.175,14.1179
304.175,14.1103
305.175,14.1017
306.175,14.0944
307.175,14.0858
308.175,14.0775
309.175,14.0713
310.175,14.0622
311.175,14.0542
312.175,14.046
313.175,14.0383
314.175,14.0314
315.175,14.0222
316.176,14.0154
317.175,14.0065
318.175,13.9993
319.175,13.9908
320.175,13.983
321.175,13.9751
322.175,13.9668
323.175,13.9585
324.175,13.9511
325.175,13.943
326.175,13.9351
327.175,13.9278
328.175,13.92
329.175,13.9125
330.175,13.9042
331.175,13.8958
332.175,13.889
333.175,13.8813
334.175,13.8726
335.175,13.8643
336.175,13.8576
337.175,13.849
338.175,13.8413
339.175,13.8336
340.175,13.8263
341.175,13.818
342.175,13.8096
343.175,13.8023
344.175,13.7949
345.175,13.7882
346.175,13.7805
347.175,13.773
348.175,13.7649
349.175,13.7574
350.175,13.7504
351.175,13.7418
352.175,13.7352
353.175,13.7283
354.175,13.7202
355.175,13.713
356.175,13.7053
357.175,13.6971
358.175,13.69
359.175,13.6825
360.175,13.6756
361.175,13.6674
362.175,13.6603
363.175,13.6523
364.175,13.6448
365.175,13.6372
366.175,13.6298
367.175,13.6224
368.175,13.6161
369.175,13.6081
370.176,13.6004
371.175,13.5939
372.175,13.5857
373.175,13.5786
374.175,13.5712
375.175,13.5642
376.175,13.556
377.175,13.5487
378.176,13.5404
379.176,13.5324
380.175,13.5266
381.175,13.5182
382.175,13.5102
383.175,13.5029
384.175,13.4948
385.175,13.4872
386.175,13.4802
387.175,13.4725
388.176,13.4648
389.175,13.4571
390.175,13.449
391.175,13.4422
392.175,13.4347
393.176,13.4272
394.175,13.4198
395.175,13.4119
396.175,13.4041
397.175,13.397
398.175,13.3886
399.175,13.3824
400.175,13.3761
401.175,13.369
402.175,13.3611
403.175,13.355
404.175,13.3473
405.176,13.3403
406.175,13.3325
407.175,13.3255
408.175,13.3196
409.175,13.3117
410.176,13.3054
411.175,13.2978
412.175,13.29
413.175,13.284
414.175,13.2757
415.176,13.2688
416.175,13.2625
417.175,13.2552
418.175,13.2468
419.175,13.2406
420.175,13.233
421.175,13.2252
422.175,13.2176
423.175,13.2101
424.175,13.201
425.175,13.1941
426.175,13.1866
427.175,13.179
428.175,13.172
429.175,13.1649
430.175,13.1569
431.175,13.1508
432.175,13.1432
433.175,13.1351
434.175,13.128
435.176,13.1211
436.175,13.1143
437.175,13.107
438.175,13.0984
439.175,13.0919
440.175,13.0849
441.175,13.0794
442.175,13.0723
443.175,13.0645
444.175,13.0563
445.175,13.0497
446.175,13.043
447.175,13.0359
448.175,13.0297
449.175,13.0231
450.175,13.0163
451.175,13.008
452.175,13.0016
453.175,12.9957
454.175,12.9883
455.176,12.981
456.175,12.9737
457.175,12.9671
458.175,12.9594
459.175,12.9528
460.175,12.9452
461.176,12.9403
462.175,12.9329
463.175,12.925
464.175,12.9184
465.176,12.9124
466.175,12.905
467.175,12.8982
468.175,12.8911
469.175,12.8848
470.175,12.8762
471.175,12.8699
472.175,12.8646
473.176,12.8579
474.175,12.8523
475.175,12.8451
476.175,12.8377
477.176,12.8302
478.175,12.8241
479.176,12.8166
480.175,12.8107
481.175,12.8041
482.176,12.7974
483.175,12.7894
484.175,12.783
485.175,12.7756
486.175,12.7691
487.175,12.7619
488.175,12.7556
489.175,12.7491
490.175,12.7434
491.175,12.7361
492.175,12.7276
493.175,12.721
494.175,12.7159
495.175,12.7092
496.176,12.7036
497.176,12.6961
498.175,12.6892
499.175,12.6812
500.176,12.6754
501.175,12.6697
502.175,12.662
503.176,12.6555
504.175,12.6486
505.175,12.643
506.176,12.6358
507.175,12.629
508.175,12.6226
509.175,12.6155
510.175,12.6093
511.175,12.6027
512.175,12.5967
513.175,12.5903
514.175,12.5833
515.175,12.5765
516.175,12.5698
517.175,12.5629
518.175,12.5569
519.175,12.5489
520.175,12.5432
521.175,12.5376
522.176,12.5292
523.175,12.5229
524.175,12.5164
525.175,12.5099
526.175,12.5034
527.175,12.4979
528.175,12.4899
529.175,12.4831
530.175,12.4767
531.175,12.4697
532.176,12.4628
533.175,12.4563
534.175,12.4502
535.175,12.4442
536.175,12.437
537.175,12.4303
538.175,12.4246
539.175,12.4172
540.175,12.4107
541.175,12.4052
542.175,12.399
543.175,12.3916
544.175,12.3853
545.176,12.3783
546.175,12.3716
547.175,12.3658
548.175,12.3597
549.176,12.353
550.175,12.347
551.175,12.3396
552.175,12.3337
553.175,12.3266
554.175,12.3208
555.175,12.3145
556.176,12.3065
557.175,12.3015
558.175,12.295
559.175,12.2894
560.175,12.2821
561.175,12.2753
562.175,12.2699
563.175,12.2621
564.175,12.2566
565.175,12.2493
566.175,12.2439
567.175,12.2374
568.175,12.2319
569.175,12.2229
570.175,12.2191
571.175,12.212
572.175,12.2055
573.175,12.1985
574.175,12.1926
575.176,12.1864
576.175,12.1791
577.175,12.1737
578.175,12.1667
579.175,12.1603
580.175,12.1531
581.176,12.1467
582.175,12.1414
583.176,12.1341
584.175,12.1278
585.175,12.12
586.175,12.1139
587.176,12.1086
588.175,12.1015
589.175,12.0944
590.175,12.0885
591.175,12.0822
592.175,12.0758
593.175,12.0697
594.175,12.063
595.175,12.0565
596.175,12.0505
597.175,12.046
598.175,12.038
599.175,12.0321
600.175,12.0258
601.175,12.0203
602.175,12.0138
603.175,12.0079
604.175,12.002
605.175,11.9955
606.175,11.9892
607.175,11.9833
608.175,11.9772
609.175,11.9712
610.175,11.9646
611.175,11.9587
612.175,11.9524
613.175,11.9462
614.175,11.9403
615.175,11.9342
616.176,11.9274
617.175,11.9212
618.176,11.9155
619.175,11.9096
620.175,11.9026
621.175,11.8965
622.175,11.8915
623.175,11.8844
624.175,11.8791
625.175,11.8734
626.176,11.8667
627.175,11.8604
628.175,11.8553
629.175,11.8496
630.175,11.8433
631.175,11.8376
632.175,11.8319
633.175,11.8254
634.175,11.8194
635.175,11.8136
636.175,11.8079
637.175,11.8013
638.175,11.7952
639.175,11.7894
640.175,11.7835
641.175,11.7776
642.175,11.7716
643.175,11.7648
644.175,11.759
645.176,11.7526
646.175,11.7462
647.175,11.7408
648.175,11.7348
649.175,11.7277
650.175,11.7219
651.175,11.7169
652.175,11.7105
653.175,11.7044
654.175,11.6977
655.175,11.6924
656.176,11.6862
657.176,11.6798
658.175,11.6741
659.176,11.6682
660.176,11.6623
661.175,11.6561
662.175,11.6497
663.175,11.6444
664.175,11.6369
665.175,11.6312
666.175,11.6254
667.175,11.6195
668.175,11.6137
669.175,11.6074
670.175,11.6015
671.175,11.5956
672.175,11.5892
673.176,11.5836
674.176,11.5773
675.176,11.5718
676.195,11.5655
677.175,11.5606
678.175,11.5548
679.175,11.5489
680.175,11.5421
681.176,11.5355
682.175,11.5296
683.175,11.524
684.175,11.5178
685.175,11.5109
686.175,11.5056
687.175,11.4997
688.175,11.4934
689.175,11.4866
690.175,11.4809
691.175,11.4757
692.175,11.4695
693.175,11.4646
694.175,11.4585
695.175,11.4517
696.175,11.4468
697.175,11.4405
698.175,11.4337
